project,side,time/ns
tc9k-m5b20-3,32,11806000
tc9k-m5b20-3,64,51362000
tc9k-m5b20-3,128,204830000
tc9k-m5b20-3,256,838306000
tc9k-m5b20-3,512,3352606000
