project,side,time/ns
tc4n-m4b20c6,32,25856000
tc4n-m4b20c6,64,109760000
tc4n-m4b20c6,128,452672000
tc4n-m4b20c6,256,1838912000
tc4n-m4b20c6,512,7413056000
