project,nome,mult,side,extra,time/ns,cycles
Conv3x3stream-if-ifn9-06mac,Conv3x3stream-if,06,32,,220615.0,22059
Conv3x3stream-if-ifn9-12mac,Conv3x3stream-if,12,32,,193615.0,19359
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18,32,,184615.0,18459
