Project,area_um2,power_mW,energy_nj,cycles,pareto_optimal
Conv3x3stream-if-ifn9-06mac,19960.029,0.949225,209.413273375,22059,True
Conv3x3stream-if-ifn9-12mac,25694.75,0.903613,174.953030995,19359,True
Conv3x3stream-if-ifn9-18mac,33294.557,0.97959,180.84700785,18459,True
