Project,nome,mult,side,kernel_size,output_side,output_pixels,cycles,time_ns,pixels_per_cycle,macs_per_cycle
Conv3x3stream-if-ifn9-06mac,Conv3x3stream-if,6,32,3,30,900,22059,220615.0,0.04079967360261118,0.24479804161566707
Conv3x3stream-if-ifn9-12mac,Conv3x3stream-if,12,32,3,30,900,19359,193615.0,0.046490004649000466,0.5578800557880056
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18,32,3,30,900,18459,184615.0,0.04875670404680644,0.8776206728425159
