,Leakage,Internal,Switching,Total
memory,0.0,0.0,0.0,0.0
register,0.368098,0.215697,0.0234123,0.607208
latch,0.0,0.0,0.0,0.0
logic,0.780901,0.414526,0.422635,1.61806
bbox,0.0,0.0,0.0,0.0
clock,0.0102422,0.0241181,0.015789,0.0501493
pad,0.0,0.0,0.0,0.0
pm,0.0,0.0,0.0,0.0
Subtotal,1.15924,0.654341,0.461837,2.27542
