Project,nome,mult,side,extra,time_ns,cycles,nome_x,mult_x,extra_x,nome_y,mult_y,extra_y,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy_nj
IFn9-06m032p,IFn9,06,32,,336890.0,33689,IFn9,6,,IFn9,6,,15710,18077.472,8047.685,26125.157,2469,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703,1024,0.6997306367
IFn9-06m032p-csa,IFn9,06,32,csa,336890.0,33689,IFn9,6,csa,IFn9,6,csa,15601,18097.254,8040.48,26137.734,2469,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972,1024,0.7040057707999999
IFn9-06m032p-lut,IFn9,06,32,lut,336890.0,33689,IFn9,6,lut,IFn9,6,lut,15983,18157.23,8201.72,26358.95,2469,0.0,0.581888,0.0,1.46962,0.0,0.0501038,0.0,0.0,2.10161,1024,0.7080113928999999
