,Leakage,Internal,Switching,Total
memory,0.0,0.0,0.0,0.0
register,0.362142,0.212851,0.0221636,0.597157
latch,0.0,0.0,0.0,0.0
logic,0.770006,0.395303,0.400135,1.56544
bbox,0.0,0.0,0.0,0.0
clock,0.0102422,0.024116,0.0158477,0.0502058
pad,0.0,0.0,0.0,0.0
pm,0.0,0.0,0.0,0.0
Subtotal,1.14239,0.632271,0.438147,2.21281
