,Cell Count,Cell Area $\mu m^2$,Net Area $\mu m^2$,Total Area $\mu m^2$,Flop Count,Power mW
ifk9-6m20,10852,14617.134,5976.655,20593.789,725,12.387
ifn9-6m20,9627,11917.080,5200.421,17117.501,725,10.3147
tcn4-4m20b6c,5460,6455.736,2923.075,9378.811,324,6.93268
tcn4-4m20b8c,5689,6574.302,3079.781,9654.083,325,7.39641
tck9-25m20b,21772,26054.784,10682.975,36737.759,1005,23.5395
tck9-5m20b-2,13407,20903.904,7604.364,28508.268,505,22.1123
tck9-5m20b,14568,22141.728,8057.445,30199.173,1005,14.2006
tck9-5m20b-3,13387,20748.924,7646.703,28395.627,505,22.3155
naive9-m9-quantized,7424,7717.752,3735.860,11453.612,193,6.54293
