,Leakage,Internal,Switching,Total
memory,0.0,0.0,0.0,0.0
register,0.364817,0.211785,0.0216486,0.59825
latch,0.0,0.0,0.0,0.0
logic,0.780583,0.395505,0.405201,1.58129
bbox,0.0,0.0,0.0,0.0
clock,0.0102422,0.0241504,0.0157743,0.0501668
pad,0.0,0.0,0.0,0.0
pm,0.0,0.0,0.0,0.0
Subtotal,1.15564,0.631441,0.442623,2.22971
