Project,category,power_mW,percent_of_subtotal
Conv3x3stream-tc-tcn9-05mac,memory,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,register,0.242693,30.600631952167323
Conv3x3stream-tc-tcn9-05mac,latch,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,logic,0.508232,64.08186630151633
Conv3x3stream-tc-tcn9-05mac,bbox,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,clock,0.0421729,5.317489137534076
Conv3x3stream-tc-tcn9-05mac,pad,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,pm,0.0,0.0
