Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv3x3stream21-ifn9-06mac,Conv,Conv,11220,14619.528,5344.799,19964.327,100.0
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[0].multip,Multip,575,600.894,240.369,841.263,4.214
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[1].multip,Multip_344,575,600.894,240.369,841.263,4.214
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[2].multip,Multip_343,575,600.894,240.369,841.263,4.214
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[3].multip,Multip_342,575,600.768,240.246,841.014,4.213
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[4].multip,Multip_341,575,600.894,240.123,841.017,4.213
Conv3x3stream21-ifn9-06mac,MULTIP_BLOCK[5].multip,Multip_340,568,597.114,237.982,835.096,4.183
Conv3x3stream21-ifn9-06mac,inverse_row,InverseRow,117,246.834,42.378,289.212,1.449
Conv3x3stream21-ifn9-06mac,inverse_row_acc,InverseRowAccumulate,556,625.842,204.465,830.307,4.159
Conv3x3stream21-ifn9-06mac,inverse_row_capture,InverseRowAccumulate_2,120,251.748,28.757,280.505,1.405
Conv3x3stream21-ifn9-06mac,inverse_row_current,InverseRow_339,117,246.834,42.378,289.212,1.449
Conv3x3stream21-ifn9-06mac,trf,Transform,1974,2903.796,680.417,3584.213,17.953
Conv3x3stream21-ifn9-06mac,matrix_c0,MatrixC0,894,1320.732,293.892,1614.624,8.088
Conv3x3stream21-ifn9-06mac,csa_n0,CSA_2,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n1,CSA_2_338,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n2,CSA_2_337,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n6,CSA_2_336,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n7,CSA_2_335,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n8,CSA_2_334,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n12,CSA_2_333,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n13,CSA_2_332,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n14,CSA_2_331,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n18,CSA_2_330,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n19,CSA_2_329,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n20,CSA_2_328,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n24,CSA_2_327,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n25,CSA_2_326,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n26,CSA_2_325,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,matrix_c1,MatrixC1,1080,1583.064,356.256,1939.32,9.714
Conv3x3stream21-ifn9-06mac,csa_n0,CSA_2_324,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n1,CSA_2_323,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n2,CSA_2_322,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n3,CSA_2_321,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n4,CSA_2_320,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n5,CSA_2_319,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n6,CSA_2_318,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n7,CSA_2_317,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n8,CSA_2_316,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n9,CSA_2_315,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n10,CSA_2_314,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n11,CSA_2_313,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n12,CSA_2_312,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n13,CSA_2_311,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n14,CSA_2_310,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n15,CSA_2_309,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n16,CSA_2_308,20,41.958,4.793,46.751,0.234
Conv3x3stream21-ifn9-06mac,csa_n17,CSA_2_307,20,41.958,4.793,46.751,0.234
